word,gender_score
goods,0.618332
goth,-0.943141
government,0.967134
governor,0.775246
governors,-0.917966
grace,0.84418
grade,-0.10587
grades,-0.376097
graduate,0.041552
graduates,-0.903718
graduation,-0.416107
grandfather,0.945879
grandma,-0.451121
grandmother,-0.952937
grandparents,0.365591
grandson,0.25874
grannies,-0.917449
granny,-0.53762
graphics,0.822089
gras,-0.768789
grass,-0.089961
gratisbondage,-0.350365
gratuit,-0.482583
grave,0.348259
gravity,0.24424
greatsex,0.31134
greek,0.125998
green,0.930852
grils,-0.026358
groom,0.02571
group,0.182161
groupie,-0.07438
groupies,0.690722
